username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
Ro_Patel,2017-03-30,,,"$AMZN shutting down $500M Quidsi unit bought 7yrs ago, parent company of Diapers.com &amp; Soap.com. To lay-off 263.",,,,78788982,
getvolatility,2017-03-30,,,"Big implied vol spikes: $CVX +1.8%, $FCX +1.6%, $CMG +1.2%, $DIA +0.8%, $RIG +0.5%, $ATVI +0.5%, $AMZN +0.5%",,,,78788912,
canes5,2017-03-30,,,"$AMZN this should be deep red TODAY which leads me to believe that it will end green.",,,,78788831,
marketexclusive,2017-03-30,,,"https://t.co/2riN4E1KsN, Inc. (NASDAQ:AMZN) Plans to Open 10th Fulfillment Center in Texas https://t.co/1fo1IRQwY3 $AMZN",,,,78788508,
finzine,2017-03-30,,,"$AMZN Trader&#39;s Daily Notebook: Worried About Volume? Just Let It Go http://realmoney.thestreet.com/articles/03/30/2017/traders-daily-notebook-worried-about-volume-just-let-it-go?puc=yahoo&amp;cm_ven=YAHOO via https://finzine.com",,,,78788273,
samwallstreet1,2017-03-30,,,"Pre market stock $IDXG $DRYS $CBR $JDST $RGLS $CRBP my side bar watch $CERU $CHK $JCP $AMZN",,,,78788171,
Benzinga,2017-03-30,,,"Next 5 Years For Consumer Internet Stocks Could Be &#39;The Golden Years&#39; For Mobile https://benzinga.com/z/9229906 $AMZN $BABA $GOOG $FB $TWTR $EBAY",,,,78788162,
TheStreet,2017-03-30,,,"Trader&#39;s Daily Notebook: Worried About Volume? Just Let It Go $AMZN http://dlvr.it/Nm2FxD",,,,78787803,
EstimizeAlerts,2017-03-30,,,"Here’s what 187 Estimize analysts believe $AMZN will report for Q1 2017 EPS [Reporting 04/27 AMC] 
 http://www.estimize.com/intro/amzn?utm_content=AMZN&amp;utm_medium=eps_update&amp;utm_source=stocktwits#chart=historical",,,,78787574,
jsheridan,2017-03-30,,,"$AAPL $GOOG $AMZN AMD What’s holding back artificial intelligence? Americans don’t trust it - MarketWatch http://www.marketwatch.com/story/whats-holding-back-artificial-intelligence-americans-dont-trust-it-2017-03-30?siteid=yhoof2&amp;yptr=yahoo",,,,78787316,
sethmarcus,2017-03-30,,,"Smartwatch Vs. Fitness Tracker: Fitbit Dives Deeper Into Smartwatches As Sales Decline   $FIT $AAPL  $GRMN  $AMZN https://goo.gl/ZYF23c",,,,78787177,
Estrdr,2017-03-30,,,"@Trilliondolla  I have a few stocks from that time - $MSFT  $AAPL   the others are zeros - $AMZN  sat in the teens for a long time 💰",,,,78786554,
finzine,2017-03-30,,,"$AMZN States&#39; Next Target on Sales Taxes: Sellers on Amazon https://www.wsj.com/articles/next-target-for-states-seeking-to-collect-sales-taxes-sellers-on-amazon-1490866207 via https://finzine.com",,,,78785651,
ERTradingFool,2017-03-30,,,"$SPY $QQQ $IWM $JNUG $JDST $AAPL $AMZN  13.) Flat corporate tax rate of 20% and immediate write-off of business investments",,,,78785090,
ss2bull,2017-03-30,,,"$GNC short to DEATH. $AMZN destroyed this fish",,,,78785036,
KingTEA,2017-03-30,,,"$AMZN Dear: Jeff Bezos
 I have 1question for you if we ever meet in person 
You have the 2nd most money in the world ,but
Are you #happy ?",,,,78784421,
mikeharrisNY,2017-03-30,,,"@Stocktwits Ref last email about $AMZN and tech. Note that $AMZN is not a tech company, uses tech. Services.",,,,78784274,
yazdan,2017-03-30,,,"$QTM chart LK @ 1 YR. $xlk $xlf $amzn $fb $fit Breakout in $QTM EZ money  https://www.tradingview.com/x/zieXY1yk/ via https://www.tradingview.com",,,,78778716,
tinvest,2017-03-30,,,"$AMZN The perfect big short.",,,,78778641,
northhills24,2017-03-30,,,"@Trilliondolla $AMZN  split 2/1 june/98, 3/1 jan/99  2/1 sept/99",,,,78778631,
